EmployeeID,DateOfHire,DateOfBirth,Age ,Age Group,Gender,Salary Category,Department,Experience Level,JobTitle,Employment Status,SupervisorID,SupervisorName,SupervisorLevel,ProjectsAssigned,ProjectsCompleted,PerformanceRating,Salary,Bonus,YearsAtCompany,YearsInCurrentRole,TrainingHours,OvertimeHours,Absences,HireSource,EmployeeEngagementScore,TerminationDate,ReasonForLeaving,LastPromotionDate,SeniorLeader,TeamSize,PromotionCount,WorkFromHomeDays,PerformanceImprovementPlan,YearsSinceLastTraining,JobSatisfactionScore,RetentionRisk,DiversityCategory,SkillsAssessmentScore,RecruitmentCost,TimeToFillPosition,InternalPromotion,WorkHoursPerWeek,StressLevelScore
16,03-05-2024,01-02-2000,26,Young,Male,Medium,HR,Senior,Armed forces technical officer,Active,635,Cheryl Lopez,Manager,17,12,5,39825.82,11642.4,6,0,48,28,19,Recruiter,2.33,Active Employee,Still Working ,03-05-2024,Patrick,28,2,2,Yes,2,4.26,Low,Non-Diverse,53.04,9248.35,47,Yes,52,4.59
17,09-06-2022,09-09-1976,49,Senior,Non-Binary,High,Finance,Fresher,Information officer,Active,27,Julian Frazier,Manager,18,11,4,95837.98,14622.89,1,6,36,13,3,Job Board,4.92,Active Employee,Still Working ,No Promotion ,Thomas G,32,0,2,Yes,2,2.97,High,Non-Diverse,85.37,5769.76,41,No,51,7.29
18,05-06-2021,29-04-1992,34,Mid Age,Male,Medium,IT,Senior,Sport and exercise psychologist,On Leave,768,Michele Butler,VP,4,4,2,50752.78,7394.65,10,2,23,19,16,Recruiter,3.25,Active Employee,Still Working ,29-09-2023,Thomas G,10,0,6,Yes,1,1.29,Low,Non-Diverse,96.27,7709.29,57,Yes,35,8.94
19,11-10-2017,15-06-1963,62,Senior,Female,High,Finance,Fresher,Brewing technologist,Terminated,203,Nathaniel Brown,Manager,5,12,3,88818.66,3364.12,2,6,37,14,17,Recruiter,1.4,24-11-2019,None,No Promotion ,Arun S,10,3,13,Yes,1,2.43,High,Diverse,72.31,1010.72,8,Yes,34,2.93
20,14-09-2021,30-10-1979,46,Senior,Non-Binary,High,IT,Senior,Scientific laboratory technician,On Leave,581,Kevin Curtis,Director,18,17,4,86295.1,9759.41,10,5,5,34,2,Job Board,4.55,Active Employee,Still Working ,No Promotion ,Arun S,26,4,1,No,4,3.05,High,Diverse,67.62,5859.86,39,Yes,40,8.47
21,09-07-2022,17-12-1987,38,Mid Age,Female,High,Finance,Mid Level,Advertising account executive,Active,607,Matthew Kelley,Director,5,9,3,115566.26,10066.23,4,0,13,25,12,Job Board,4.33,Active Employee,Still Working ,No Promotion ,Arun S,38,3,10,Yes,3,4.45,Medium,Diverse,94.42,2922.13,41,Yes,59,7.12
22,04-03-2016,23-02-1982,44,Mid Age,Female,High,Sales,Mid Level,Medical laboratory scientific officer,Terminated,825,Daniel Jackson,Manager,12,15,2,88959.45,12130.3,5,6,24,9,20,Recruiter,4.18,29-07-2020,Resignation,No Promotion ,Thomas G,15,0,14,Yes,1,2.52,Medium,Diverse,61.18,4143.1,31,Yes,43,6.95
23,26-10-2023,20-02-1960,66,Senior,Male,Medium,IT,Fresher,Chief Strategy Officer,Terminated,639,Katrina Farrell,VP,20,7,2,56567.65,15952.76,0,2,28,38,4,Referral,2.36,30-12-2023,Retirement,21-01-2024,Arun S,24,3,4,No,4,4.68,High,Diverse,86.36,1129.79,9,No,36,6.24
24,14-04-2022,12-08-1994,31,Mid Age,Non-Binary,High,IT,Mid Level,"Radiographer, therapeutic",Terminated,788,Joshua Smith,Manager,0,19,1,103227.78,2980.06,4,5,87,31,11,Recruiter,1.75,26-05-2023,Resignation,No Promotion ,Patrick,5,1,16,No,3,1.84,Low,Diverse,70.76,2382.94,25,No,54,5.43
25,01-02-2024,11-06-1991,34,Mid Age,Male,Medium,IT,Senior,"Pilot, airline",On Leave,817,Savannah King,VP,4,8,1,36758.8,4521.58,7,3,43,32,1,Recruiter,1.39,Active Employee,Still Working ,No Promotion ,Patrick,40,4,17,Yes,0,4.87,High,Non-Diverse,68.92,9802.82,6,Yes,47,7.39
26,02-08-2024,08-01-1987,39,Mid Age,Female,Medium,Finance,Mid Level,"Surveyor, building control",Terminated,239,Michael Strickland,Director,9,19,5,66044,4040.52,3,10,13,5,6,Recruiter,1.13,01-09-2024,None,14-11-2024,Thomas G,35,1,5,No,5,1.35,Low,Diverse,55.77,3312.81,57,Yes,44,6
27,17-02-2018,17-03-1963,63,Senior,Male,High,Marketing,Senior,Advertising account executive,On Leave,588,Stephanie Phillips,Director,6,12,1,86196.34,4022.92,7,3,33,10,14,Referral,3.53,Active Employee,Still Working ,No Promotion ,Arun S,24,0,5,No,4,4.36,Medium,Diverse,62.41,7474.89,26,Yes,58,9.43
28,24-12-2016,02-04-1973,53,Senior,Male,High,Marketing,Senior,"Merchandiser, retail",On Leave,619,Michael Spencer,VP,7,17,1,101952.96,19281.64,9,2,31,6,6,Referral,1.62,Active Employee,Still Working ,06-03-2023,Patrick,37,1,7,No,0,3.65,Medium,Diverse,98.1,4244.32,40,Yes,35,9.38
29,02-09-2022,15-02-1971,55,Senior,Male,High,HR,Mid Level,Paediatric nurse,Terminated,657,Caitlyn Nguyen,Manager,5,8,2,85336.8,18139.34,4,1,50,14,1,Job Board,3.28,01-08-2024,Resignation,No Promotion ,Arun S,39,5,17,No,1,4.19,Medium,Diverse,70.46,6358.06,54,Yes,31,3.76
30,29-09-2016,23-08-1968,57,Senior,Non-Binary,High,Finance,Senior,"Engineer, land",On Leave,817,Terry Meza,VP,6,4,3,117332.64,11094.55,7,8,68,25,5,Referral,2.42,Active Employee,Still Working ,No Promotion ,Arun S,41,4,0,Yes,1,1.71,High,Non-Diverse,78.13,1843.24,45,No,32,4.95
31,29-12-2022,15-10-1991,34,Mid Age,Male,Medium,HR,Senior,Newspaper journalist,On Leave,806,Christopher Sanchez,VP,19,13,2,40313.05,5822.03,9,1,33,23,4,Job Board,2.82,Active Employee,Still Working ,No Promotion ,Patrick,31,3,5,Yes,3,4.12,Low,Non-Diverse,85.54,5132.65,20,Yes,42,2
32,18-05-2015,19-10-1976,49,Senior,Male,High,IT,Senior,"Designer, exhibition/display",On Leave,915,Dr. Andrea Jones,Manager,12,8,3,83116.13,785.93,8,2,30,36,10,Walk-in,2.37,Active Employee,Still Working ,09-07-2018,Patrick,10,0,16,Yes,0,2.18,High,Diverse,81,2552.25,37,No,33,8.82
33,20-09-2019,11-07-1971,54,Senior,Female,Medium,Sales,Fresher,Museum/gallery curator,Terminated,795,Mary Castillo,VP,15,1,5,64743.79,1373.37,1,1,36,3,5,Walk-in,3.69,03-12-2021,Layoff,No Promotion ,Thomas G,8,0,3,Yes,0,2.74,Low,Non-Diverse,65.11,1320.6,22,Yes,38,4.98
34,04-09-2019,22-09-1981,44,Mid Age,Male,High,Finance,Senior,Communications engineer,Active,476,Alex Bailey,VP,17,5,4,100987.44,16921.79,7,6,90,22,5,Job Board,1.93,Active Employee,Still Working ,03-03-2022,Thomas G,38,0,8,Yes,5,1.02,Low,Diverse,93.78,2317.69,56,Yes,59,6.76
35,27-06-2019,24-01-1998,28,Young,Male,High,Sales,Mid Level,"Designer, multimedia",On Leave,265,Kristen Bell,VP,17,1,4,74615.96,10027.94,3,8,30,36,5,Referral,3.61,Active Employee,Still Working ,No Promotion ,Thomas G,49,2,3,Yes,1,1.96,Medium,Non-Diverse,57.58,7248.18,42,No,49,6.51
36,30-06-2021,20-06-1963,62,Senior,Female,Medium,IT,Mid Level,Environmental health practitioner,On Leave,946,Allison Kelly,Director,6,2,5,31713.08,19975.89,3,7,14,37,7,Recruiter,2.9,Active Employee,Still Working ,No Promotion ,Patrick,37,4,7,Yes,3,1.04,Low,Diverse,92.7,7361.11,19,Yes,60,1.52
37,08-09-2016,16-09-1985,40,Mid Age,Female,Medium,Marketing,Mid Level,Music therapist,On Leave,140,Susan Smith,Director,14,16,1,49747.24,19655.78,4,3,85,27,3,Walk-in,2.41,Active Employee,Still Working ,15-04-2023,Thomas G,48,2,7,No,0,1.07,Medium,Diverse,82.72,7939.27,56,No,58,1.55
38,10-03-2024,09-02-1973,53,Senior,Non-Binary,Medium,Sales,Mid Level,Health and safety inspector,On Leave,237,Charles Ross,Manager,11,15,3,64734.26,8795.32,5,0,2,2,11,Recruiter,4.93,Active Employee,Still Working ,17-08-2024,Arun S,28,1,4,No,3,4.44,Low,Non-Diverse,52.67,3665.86,46,No,30,7.4
39,24-04-2019,23-01-1984,42,Mid Age,Male,Medium,HR,Senior,Pathologist,Active,607,Melissa Sherman,Director,2,14,1,55121.37,8058.9,8,10,8,37,3,Referral,4.98,Active Employee,Still Working ,No Promotion ,Patrick,35,2,8,No,4,2.96,Medium,Non-Diverse,79.52,8299.3,54,Yes,38,9.68
40,31-08-2019,27-08-1983,42,Mid Age,Male,Medium,Sales,Senior,Hydrologist,Active,888,Casey Roach,Manager,15,12,3,41957.16,3446.53,7,5,18,40,0,Recruiter,4.21,Active Employee,Still Working ,No Promotion ,Arun S,21,0,13,Yes,5,3.99,Low,Diverse,59.85,6499.21,60,No,56,8.23
41,03-07-2020,10-12-2004,21,Young,Non-Binary,High,HR,Fresher,Ergonomist,Terminated,711,Paula Schmidt,VP,14,13,2,115915.71,9728,1,4,23,19,10,Recruiter,4.26,14-11-2023,None,28-11-2020,Patrick,34,2,9,No,2,1.61,Low,Non-Diverse,96.36,5621.35,16,Yes,42,3.79
42,23-07-2024,01-07-1973,52,Senior,Male,High,Finance,Mid Level,Financial planner,Active,906,David Mays,Manager,14,7,4,101168.55,2206.62,5,2,49,18,18,Walk-in,2.45,Active Employee,Still Working ,04-08-2024,Thomas G,8,1,9,Yes,5,2.79,Medium,Non-Diverse,54.14,5361.98,34,Yes,58,9.63
43,08-05-2019,29-11-1987,38,Mid Age,Non-Binary,High,Sales,Mid Level,Photographer,Terminated,394,Terry Thomas,Director,11,0,3,110149.96,14290.43,4,9,7,25,1,Referral,3.54,05-07-2022,None,No Promotion ,Thomas G,11,1,4,No,1,1.78,High,Non-Diverse,84.08,9255.01,7,No,33,5.59
44,02-05-2022,15-10-1961,64,Senior,Non-Binary,High,IT,Mid Level,"Investment banker, corporate",On Leave,48,Natalie Hebert,Manager,10,6,2,100540.12,18735.25,5,8,13,18,3,Walk-in,4.01,Active Employee,Still Working ,05-06-2022,Patrick,49,2,4,No,5,1.17,Medium,Non-Diverse,78.49,1396.67,28,No,50,9.88
45,27-09-2020,15-11-1988,37,Mid Age,Non-Binary,Medium,HR,Fresher,"Buyer, retail",Active,508,Jeffrey Dawson,VP,5,4,2,49547.5,18047.82,0,9,52,6,5,Referral,2.73,Active Employee,Still Working ,21-10-2024,Thomas G,30,3,1,No,1,4.04,Medium,Diverse,73.44,5962.34,39,No,50,3.77
46,03-03-2016,09-03-2002,24,Young,Non-Binary,Medium,HR,Mid Level,"Radiographer, diagnostic",Active,60,Rebecca Lopez,Manager,9,9,1,39450.4,5499.49,3,3,64,18,11,Recruiter,3.95,Active Employee,Still Working ,06-02-2023,Thomas G,21,4,4,Yes,1,4.84,Low,Non-Diverse,55.79,7213.25,14,No,47,7.77
47,28-04-2020,04-01-1971,55,Senior,Non-Binary,Medium,Marketing,Senior,Architect,Terminated,676,Susan Morris,Manager,13,4,2,34972.59,10727.83,8,1,32,9,20,Job Board,2.83,20-07-2022,Resignation,23-03-2023,Thomas G,6,1,13,Yes,5,3.56,High,Non-Diverse,88.3,2158.22,14,No,57,4.25
48,08-01-2020,27-05-1967,58,Senior,Male,High,IT,Fresher,"Solicitor, Scotland",Active,302,Bryan Gray,Manager,10,13,1,80690.58,8618.92,2,3,75,42,14,Job Board,1.03,Active Employee,Still Working ,03-03-2022,Patrick,7,1,7,No,2,2.49,High,Diverse,64.24,8201.83,51,No,57,1.22
49,26-09-2020,23-02-1982,44,Mid Age,Non-Binary,Medium,IT,Mid Level,Clinical psychologist,Active,562,Barry Howard,Director,9,17,4,31941.61,17117.54,5,6,93,6,8,Job Board,3.23,Active Employee,Still Working ,22-09-2021,Arun S,8,3,13,Yes,1,1.72,High,Diverse,72.32,2453.13,22,Yes,35,6.81
50,02-02-2024,22-07-2005,20,Young,Female,High,Marketing,Mid Level,"Accountant, chartered management",On Leave,782,Phyllis Montgomery,VP,1,7,3,80155.52,10080.68,5,6,82,29,20,Job Board,1.34,Active Employee,Still Working ,No Promotion ,Patrick,5,4,9,Yes,1,1.51,High,Diverse,55.19,1393.34,12,No,47,1.24
51,24-10-2023,23-11-2004,21,Young,Non-Binary,Medium,HR,Senior,Armed forces technical officer,Terminated,878,Luis Schmidt,Director,16,11,5,53999.94,14412.05,7,7,33,45,12,Referral,1.03,26-03-2024,Layoff,No Promotion ,Arun S,13,5,0,No,4,4.74,Low,Diverse,80.46,6442.79,32,No,43,9.72
52,10-08-2015,09-03-2001,25,Young,Male,High,HR,Senior,Clinical molecular geneticist,Active,765,Jill Luna,Director,17,16,1,115033.73,9543.5,6,9,32,0,20,Referral,3.91,Active Employee,Still Working ,11-04-2021,Patrick,7,4,0,No,3,4.77,Medium,Non-Diverse,52.81,9704.75,19,No,60,5.17
53,25-03-2020,28-01-2003,23,Young,Female,Medium,HR,Mid Level,Financial controller,Terminated,459,William Murray,Director,4,9,3,61676.5,10455.59,4,6,44,35,8,Recruiter,1.45,04-10-2021,Layoff,11-07-2024,Arun S,8,3,17,No,5,4.3,High,Non-Diverse,89.01,9851.71,32,No,51,7.94
54,05-01-2025,19-05-2005,21,Young,Non-Binary,High,Sales,Fresher,"Psychotherapist, child",Terminated,979,Angela Davis,VP,19,5,1,103976.86,11742.51,2,5,55,29,9,Walk-in,1.09,10-01-2025,Retirement,23-01-2025,Patrick,39,0,14,Yes,5,2.73,Medium,Non-Diverse,63.08,3481.09,24,No,36,8.77
55,04-11-2017,12-04-1994,32,Mid Age,Non-Binary,Medium,Marketing,Fresher,"Designer, ceramics/pottery",Active,183,Kathleen Lawrence,VP,11,2,1,44478.45,18902.19,0,2,95,8,12,Referral,3.2,Active Employee,Still Working ,No Promotion ,Patrick,24,4,15,Yes,4,2.67,Low,Non-Diverse,63.59,5701.21,41,No,60,9.72
56,23-04-2016,21-02-1971,55,Senior,Male,Medium,Finance,Senior,"Engineer, land",On Leave,177,William Young,Manager,7,7,1,34125.98,15103.53,7,8,58,0,14,Recruiter,2.76,Active Employee,Still Working ,16-07-2023,Thomas G,23,5,7,Yes,3,2.87,Medium,Diverse,87.82,8220.06,10,Yes,56,9.28
57,05-01-2020,20-12-1991,34,Mid Age,Female,Medium,Sales,Senior,"Engineer, land",Active,218,Tony Townsend,VP,11,8,4,57532.14,9856.32,7,1,75,38,17,Walk-in,3.82,Active Employee,Still Working ,No Promotion ,Arun S,19,0,19,No,2,2.98,Medium,Diverse,82.65,4225.17,15,No,38,1.33
58,15-02-2015,14-12-2004,21,Young,Female,High,HR,Senior,"Scientist, physiological",Active,255,Shannon Greene,VP,19,13,2,73560.69,6396.47,8,4,90,7,11,Walk-in,2.37,Active Employee,Still Working ,17-06-2024,Thomas G,41,4,7,No,1,2.91,High,Diverse,98.61,7189.59,32,No,56,6.5
59,24-02-2015,22-05-1989,37,Mid Age,Non-Binary,High,Finance,Fresher,Industrial buyer,Active,596,Christopher Guerrero,VP,2,9,5,83315.74,8888.59,0,8,42,13,20,Referral,3.9,Active Employee,Still Working ,05-10-2021,Patrick,14,2,2,Yes,0,2.53,High,Non-Diverse,72.78,1528.6,58,Yes,30,1.42
60,21-03-2017,05-08-1959,66,Senior,Non-Binary,Medium,Sales,Senior,Higher education lecturer,Active,774,Larry Gomez,Director,4,10,4,36191.45,11185.43,9,5,86,12,3,Walk-in,4.46,Active Employee,Still Working ,14-12-2017,Patrick,41,1,4,Yes,3,1.16,Medium,Non-Diverse,80.95,5866.33,52,No,38,5.61
61,09-06-2023,24-02-1993,33,Mid Age,Male,High,Marketing,Senior,Network engineer,On Leave,603,Mr. David Johnson,Director,2,3,4,83639.79,10442.32,10,1,29,7,12,Job Board,2.92,Active Employee,Still Working ,No Promotion ,Patrick,29,3,14,Yes,3,4.04,High,Non-Diverse,65.71,5012.34,23,No,39,8.37
62,03-09-2016,26-02-1960,66,Senior,Female,High,Sales,Mid Level,Travel agency manager,Terminated,721,Brandon Morales,Manager,5,16,3,73146.81,17787.61,5,2,16,19,11,Job Board,4.63,21-01-2022,Resignation,20-07-2018,Patrick,46,4,5,No,5,3.9,High,Non-Diverse,99.44,7416.6,59,Yes,35,5.76
63,30-03-2016,02-02-1978,48,Senior,Male,Medium,Sales,Fresher,Government social research officer,Terminated,739,Grant Anderson,Manager,17,19,3,48773.25,17548.84,1,0,2,32,18,Job Board,2.76,22-03-2022,Layoff,No Promotion ,Thomas G,38,3,1,Yes,3,4.34,High,Diverse,94.03,8955.04,14,Yes,46,6.48
64,02-12-2021,06-02-1978,48,Senior,Female,Medium,Marketing,Fresher,Animal nutritionist,On Leave,400,Antonio Ellis,Director,0,3,1,55728.64,7080.16,0,1,14,22,9,Job Board,2.28,Active Employee,Still Working ,08-01-2022,Patrick,18,0,3,No,0,2.75,Low,Diverse,65.14,3885.28,27,No,44,4.57
65,20-02-2017,22-07-1994,31,Mid Age,Non-Binary,High,HR,Senior,Interior and spatial designer,Terminated,821,Matthew Mora,Director,2,12,2,87574.81,12883.64,9,1,75,5,19,Recruiter,1.2,02-06-2024,Resignation,19-02-2021,Patrick,34,0,16,Yes,5,4.08,Medium,Non-Diverse,72.62,3063.01,14,Yes,41,7.03
66,13-12-2019,13-04-1973,53,Senior,Male,High,Finance,Fresher,Health physicist,Active,92,Jacqueline Mosley,Director,14,10,1,100587.43,11282.46,1,7,97,16,2,Walk-in,2.96,Active Employee,Still Working ,No Promotion ,Patrick,9,3,18,No,3,3.75,Low,Non-Diverse,80.86,8468.21,49,No,44,8.84
67,27-04-2020,19-12-2006,19,Young,Non-Binary,Medium,HR,Mid Level,Lawyer,Active,393,Michelle Davies,VP,4,13,1,66694.95,14267.52,3,8,44,1,7,Referral,4.97,Active Employee,Still Working ,No Promotion ,Arun S,46,2,13,No,5,1.08,Low,Diverse,54.96,9789.5,60,No,51,9.75
68,16-10-2021,05-02-1991,35,Mid Age,Female,Medium,Finance,Senior,Financial adviser,Active,811,Stacey Elliott,Director,18,5,3,50801.03,10561.41,6,6,27,25,12,Referral,3,Active Employee,Still Working ,25-05-2022,Thomas G,11,0,9,No,2,3.95,High,Diverse,74.09,3791.13,12,Yes,32,4.93
69,04-02-2019,08-01-1980,46,Senior,Female,Medium,Sales,Fresher,Media planner,Terminated,233,Christopher Tucker,Manager,9,0,3,61950.15,13460.54,1,4,62,8,12,Walk-in,2.16,04-08-2019,Retirement,28-05-2020,Thomas G,28,0,8,No,3,2.07,Medium,Diverse,52.59,9554.77,23,No,44,2.02
70,17-11-2024,15-11-1993,32,Mid Age,Non-Binary,High,Finance,Senior,Passenger transport manager,Terminated,359,Nathan Bryan,VP,8,20,1,70188.03,12870.69,8,3,19,1,13,Job Board,2.65,27-11-2024,Retirement,No Promotion ,Patrick,27,4,4,Yes,5,1.77,Medium,Diverse,61.24,7946.1,25,No,52,4.48
71,07-08-2020,11-12-1990,35,Mid Age,Female,High,HR,Senior,Civil Service administrator,Terminated,328,Katherine Barajas,VP,8,11,1,98098.6,19975.99,8,10,12,50,14,Walk-in,1.41,10-04-2024,None,25-06-2024,Thomas G,11,3,19,No,1,3.05,High,Diverse,88.27,3712.17,60,No,33,1.77
72,30-07-2015,01-03-2006,20,Young,Male,High,Finance,Senior,Broadcast journalist,Active,366,Thomas Campbell,Director,17,14,3,116288.45,9070.11,10,1,90,46,10,Walk-in,3.61,Active Employee,Still Working ,No Promotion ,Arun S,24,3,9,No,5,3.86,Medium,Non-Diverse,98.33,8579.33,22,No,52,5.32
73,01-05-2019,17-05-1981,45,Senior,Non-Binary,Medium,IT,Mid Level,Site engineer,Active,468,Alexander Winters,VP,1,0,3,67653.19,145.51,3,4,34,45,15,Job Board,3.01,Active Employee,Still Working ,No Promotion ,Thomas G,34,5,20,Yes,2,1.06,Medium,Non-Diverse,78.3,9134.98,58,No,57,9.81
74,11-08-2021,12-04-1967,59,Senior,Non-Binary,Medium,IT,Senior,Pathologist,Active,192,Adam Walters,VP,7,0,1,32537.72,12707.13,7,1,6,37,20,Recruiter,3.64,Active Employee,Still Working ,03-12-2021,Thomas G,48,3,3,No,4,1.31,High,Diverse,54.5,7980.31,18,Yes,49,9.43
75,27-07-2020,27-01-1979,47,Senior,Female,High,HR,Senior,Risk analyst,Active,340,Tyler Potter,VP,9,9,1,78561.53,66.97,9,7,30,50,9,Recruiter,4.34,Active Employee,Still Working ,23-09-2021,Thomas G,5,0,5,No,1,2.15,Low,Diverse,65.08,2573.98,53,No,39,4.94
76,10-09-2016,17-08-1983,42,Mid Age,Male,Medium,IT,Senior,"Editor, magazine features",Active,275,Mark Wilson,Director,1,9,3,50119.18,15548.69,7,0,54,37,16,Walk-in,4.94,Active Employee,Still Working ,06-01-2025,Thomas G,33,3,16,Yes,4,4.14,Medium,Non-Diverse,50.65,4851.98,6,Yes,55,4.33
77,12-06-2024,14-07-1984,41,Mid Age,Male,High,IT,Mid Level,"Nurse, adult",Terminated,373,Linda Chen,Director,11,8,3,94761,17559.62,5,9,25,44,13,Recruiter,1.6,21-10-2024,None,No Promotion ,Arun S,22,2,10,No,1,4.7,Low,Diverse,69.38,2755.02,42,No,58,7.98
78,24-05-2020,08-07-1991,34,Mid Age,Female,Medium,HR,Mid Level,Surgeon,Terminated,848,Andrew Chang,Director,18,5,5,59498.58,8498.19,3,0,7,15,12,Recruiter,3.31,15-10-2022,None,25-04-2021,Thomas G,43,0,0,No,0,1.74,Low,Non-Diverse,65.16,1007.35,46,No,60,5.22
